iter	Passed	Remaining
0	1	1912
1	3	1675
2	4	1654
3	6	1616
4	8	1623
5	9	1617
6	10	1512
7	12	1496
8	13	1508
9	15	1515
10	17	1528
11	19	1566
12	20	1574
13	22	1578
14	23	1572
15	25	1573
16	27	1582
17	28	1577
18	30	1575
19	32	1570
20	33	1583
21	35	1580
22	37	1579
23	38	1576
24	40	1573
25	41	1565
26	43	1565
27	45	1568
28	46	1569
29	48	1567
30	50	1571
31	52	1573
32	53	1573
33	55	1578
34	57	1582
35	59	1580
36	60	1580
37	62	1578
38	63	1572
39	65	1574
40	67	1575
41	68	1572
42	70	1567
43	71	1563
44	73	1560
45	75	1557
46	76	1554
47	78	1548
48	79	1544
49	81	1547
50	83	1544
51	84	1545
52	86	1540
53	87	1538
54	89	1535
55	90	1533
56	92	1532
57	94	1531
58	95	1529
59	97	1533
60	99	1528
61	100	1527
62	102	1525
63	104	1522
64	105	1518
65	107	1515
66	108	1512
67	110	1508
68	111	1508
69	113	1509
70	115	1508
71	117	1508
72	118	1505
73	120	1501
74	121	1501
75	123	1497
76	124	1494
77	126	1491
78	127	1488
79	129	1487
80	131	1486
81	132	1484
82	134	1483
83	135	1480
84	137	1478
85	138	1476
86	140	1473
87	141	1470
88	143	1467
89	145	1466
90	146	1465
91	148	1463
92	149	1461
93	151	1459
94	152	1457
95	154	1454
96	156	1452
97	157	1450
98	159	1448
99	161	1451
100	162	1449
101	164	1447
102	166	1446
103	167	1444
104	169	1442
105	170	1440
106	172	1438
107	173	1436
108	175	1435
109	177	1433
110	178	1432
111	180	1430
112	181	1427
113	183	1425
114	184	1423
115	186	1421
116	188	1425
117	191	1429
118	193	1429
119	194	1429
120	196	1429
121	198	1429
122	200	1431
123	203	1434
124	204	1433
125	206	1431
126	208	1433
127	210	1430
128	211	1428
129	213	1425
130	214	1423
131	216	1421
132	217	1418
133	219	1416
134	220	1414
135	222	1411
136	224	1412
137	225	1410
138	227	1408
139	228	1405
140	230	1403
141	232	1401
142	233	1399
143	235	1398
144	236	1396
145	238	1395
146	240	1394
147	241	1392
148	243	1390
149	245	1389
150	246	1387
151	248	1384
152	249	1382
153	251	1379
154	252	1377
155	254	1376
156	256	1374
